rain,showers,snowfall,temperature_2m,relative_humidity_2m,cloud_cover,cloud_cover_low,cloud_cover_high,cloud_cover_mid,shortwave_radiation,direct_radiation,diffuse_radiation,global_tilted_irradiance
0.0,0.0,0.0,9.5,87.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.1,84.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,8.2,77.0,100.0,0.0,91.0,100.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,26.4,81.0,95.0,17.0,100.0,78.0,91.0,45.0,46.0,91.0
0.0,0.0,0.0,23.0,95.0,6.0,18.0,22.0,0.0,35.0,14.0,21.0,35.0
0.0,0.0,0.0,19.2,59.0,0.0,0.0,0.0,0.0,111.0,68.0,43.0,111.0
0.0,0.0,0.0,15.3,68.0,93.0,0.0,12.0,77.0,12.0,3.0,9.0,12.0
0.0,0.0,0.0,9.1,66.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.5,55.0,0.0,0.0,0.0,0.0,96.0,56.0,40.0,96.0
0.0,0.0,0.0,22.3,82.0,11.0,0.0,0.0,3.0,97.0,53.0,44.0,97.0
0.0,0.0,0.0,3.8,75.0,93.0,0.0,93.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,18.4,84.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0
0.0,0.0,0.0,4.6,68.0,81.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.2,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.7,84.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,22.9,98.0,11.0,14.0,0.0,0.0,45.0,21.0,24.0,45.0
0.0,0.0,0.0,21.9,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.4,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.2,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.1,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-4.6,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.6,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.8,61.0,99.0,22.0,100.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.2,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-12.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.4,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,20.5,69.0,0.0,0.0,0.0,0.0,61.0,33.0,28.0,61.0
0.0,0.0,0.0,6.1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,21.2,74.0,11.0,7.0,0.0,0.0,8.0,2.0,6.0,8.0
0.0,0.0,0.0,16.9,84.0,82.0,0.0,82.0,0.0,61.0,15.0,46.0,61.0
0.0,0.0,0.0,0.9,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.1,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,5.9,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,75.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0
0.0,0.0,0.0,24.4,80.0,8.0,0.0,0.0,42.0,27.0,10.0,17.0,27.0
0.0,0.0,0.0,23.8,89.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,10.0
0.0,0.0,0.0,18.7,86.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,24.4,81.0,13.0,0.0,0.0,50.0,27.0,10.0,17.0,27.0
0.0,0.0,0.0,9.2,66.0,19.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,9.2,66.0,19.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.1,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.5,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.4,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,13.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,13.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.1,72.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.3,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.0,67.0,76.0,31.0,65.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,23.8,89.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,10.0
0.0,0.0,0.0,21.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,24.6,80.0,0.0,0.0,0.0,0.0,17.0,6.0,11.0,17.0
0.0,0.0,0.0,7.1,48.0,16.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.2,20.0,91.0,0.0,65.0,91.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,28.8,58.0,99.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.8,40.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.2,75.0,74.0,0.0,88.0,18.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,25.5,58.0,95.0,0.0,100.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.4,49.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,11.1,54.0,29.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,18.7,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,21.4,64.0,57.0,0.0,73.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,31.0,39.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.4,55.0,64.0,0.0,89.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.5,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,28.7,65.0,55.0,0.0,97.0,88.0,0.0,0.0,0.0,0.0
