state,avg_system_cost_usd,avg_cost_per_watt_usd,avg_25yr_savings_usd
Alabama,44611.0,3.06,46692.0
Arkansas,34829.0,2.52,19474.0
Arizona,29881.0,2.19,41847.0
California,22756.0,2.5,133541.0
Colorado,29835.0,2.74,32837.0
Connecticut,30767.0,2.74,104628.0
Washington D.C.,32727.0,2.9,108922.0
Delaware,32764.0,2.27,51550.0
Florida,34829.0,2.2,51946.0
Georgia,33437.0,2.43,22852.0
Hawaii,28018.0,3.31,43106.0
Idaho,43425.0,3.34,921.0
Iowa,43577.0,3.35,17131.0
Illinois,39799.0,3.09,25754.0
Indiana,36563.0,2.83,24280.0
Kansas,32644.0,2.81,17887.0
Kentucky,36442.0,2.62,18177.0
Louisiana,29167.0,2.64,14997.0
Massachusetts,33948.0,3.1,155351.0
Maryland,36820.0,2.6,73271.0
Maine,33451.0,2.96,34207.0
Michigan,35538.0,3.0,26188.0
Minnesota,42346.0,3.27,18866.0
Missouri,31909.0,2.55,29879.0
Mississippi,32500.0,2.66,15072.0
Montana,39412.0,2.78,27605.0
North Carolina,31458.0,2.27,33464.0
New Hampshire,33639.0,3.11,49539.0
New Jersey,34140.0,2.66,86368.0
New Mexico,26928.0,2.74,23742.0
New York,35323.0,2.77,51852.0
Nevada,29012.0,2.41,34818.0
Ohio,37987.0,2.74,48421.0
Oklahoma,35202.0,2.41,29136.0
Oregon,33726.0,2.68,50619.0
Pennsylvania,34484.0,2.59,66192.0
Rhode Island,32030.0,2.96,106346.0
South Carolina,36124.0,2.56,29998.0
Tennessee,45641.0,3.25,313.0
Texas,29333.0,2.17,77703.0
Vermont,31817.0,2.91,38164.0
Virginia,36793.0,2.7,41688.0
Washington,37424.0,2.67,33232.0
Wisconsin,37624.0,3.08,37013.0
